Date,Team,TMValue
2022-02-01,UD Vilafranquense,5.95
2022-02-01,B SAD,14.28
2022-02-01,FC Penafiel,4.95
2022-02-01,SC União Torreense,2.18
2022-02-01,CD Nacional,8.15
2022-02-01,CD Trofense,5.15
2022-02-01,CD Feirense,5.4
2022-02-01,Leixões SC,5.05
2022-02-01,CF Estrela Amadora SAD,5.18
2022-02-01,SC Covilhã,3.68
2022-02-01,UD Oliveirense,2.08
2022-01-15,SL Benfica,294.8
2022-01-15,FC Porto,242.3
2022-01-15,Sporting CP,249.0
2022-01-15,SC Braga,126.5
2022-01-15,FC Famalicão,35.3
2022-01-15,Vitória Guimarães SC,61.65
2022-01-15,Gil Vicente FC,15.9
2022-01-15,FC Paços de Ferreira,21.2
2022-01-15,GD Estoril Praia,22.5
2022-01-15,CD Santa Clara,20.13
2022-01-15,Boavista FC,22.6
2022-01-15,Portimonense SC,28.55
2022-01-15,Rio Ave FC,9.65
2022-01-15,CS Marítimo,15.35
2022-01-15,FC Vizela,12.45
2022-01-15,Casa Pia AC,5.9
2022-01-15,FC Arouca,14.73
2022-01-15,GD Chaves,4.9
2022-01-15,SL Benfica B,14.78
2022-01-15,FC Porto B,16.55
2022-01-15,Moreirense FC,16.95
2022-01-15,Académico Viseu FC,4.4
2022-01-15,SC Farense,7.48
2022-01-15,CD Tondela,19.73
2022-01-15,CD Mafra,5.18
2022-01-15,UD Vilafranquense,5.3
2022-01-15,B SAD,15.98
2022-01-15,FC Penafiel,4.95
2022-01-15,SC União Torreense,2.18
2022-01-15,CD Nacional,7.95
2022-01-15,CD Trofense,4.15
2022-01-15,CD Feirense,5.4
2022-01-15,Leixões SC,4.98
2022-01-15,CF Estrela Amadora SAD,4.98
2022-01-15,SC Covilhã,4.05
2022-01-15,UD Oliveirense,1.58
2022-01-01,SL Benfica,290.5
2022-01-01,FC Porto,278.3
2022-01-01,Sporting CP,248.2
2022-01-01,SC Braga,124.5
2022-01-01,FC Famalicão,35.3
2022-01-01,Vitória Guimarães SC,60.35
2022-01-01,Gil Vicente FC,16.8
2022-01-01,FC Paços de Ferreira,21.2
2022-01-01,GD Estoril Praia,22.5
2022-01-01,CD Santa Clara,19.93
2022-01-01,Boavista FC,22.6
2022-01-01,Portimonense SC,25.5
2022-01-01,Rio Ave FC,9.8
2022-01-01,CS Marítimo,15.35
2022-01-01,FC Vizela,11.85
2022-01-01,Casa Pia AC,6.05
2022-01-01,FC Arouca,14.48
2022-01-01,GD Chaves,4.9
2022-01-01,SL Benfica B,15.03
2022-01-01,FC Porto B,16.55
2022-01-01,Moreirense FC,18.45
2022-01-01,Académico Viseu FC,4.6
2022-01-01,SC Farense,7.48
2022-01-01,CD Tondela,20.25
2022-01-01,CD Mafra,5.33
2022-01-01,UD Vilafranquense,5.35
2022-01-01,B SAD,15.98
2022-01-01,FC Penafiel,4.85
2022-01-01,SC União Torreense,2.03
2022-01-01,CD Nacional,8.43
2022-01-01,CD Trofense,4.15
2022-01-01,CD Feirense,5.4
2022-01-01,Leixões SC,5.75
2022-01-01,CF Estrela Amadora SAD,5.15
2022-01-01,SC Covilhã,4.13
2022-01-01,UD Oliveirense,1.75
2021-12-15,SL Benfica,281.0
2021-12-15,FC Porto,265.85
2021-12-15,Sporting CP,198.2
2021-12-15,SC Braga,119.15
2021-12-15,FC Famalicão,34.23
2021-12-15,Vitória Guimarães SC,52.95
2021-12-15,Gil Vicente FC,13.35
2021-12-15,FC Paços de Ferreira,20.3
2021-12-15,GD Estoril Praia,21.63
2021-12-15,CD Santa Clara,20.45
2021-12-15,Boavista FC,18.83
2021-12-15,Portimonense SC,21.95
2021-12-15,Rio Ave FC,9.4
2021-12-15,CS Marítimo,18.13
2021-12-15,FC Vizela,11.8
2021-12-15,Casa Pia AC,6.05
2021-12-15,FC Arouca,12.85
2021-12-15,GD Chaves,4.9
2021-12-15,SL Benfica B,11.53
2021-12-15,FC Porto B,16.55
2021-12-15,Moreirense FC,19.98
2021-12-15,Académico Viseu FC,4.6
2021-12-15,SC Farense,8.13
2021-12-15,CD Tondela,21.0
2021-12-15,CD Mafra,5.33
2021-12-15,UD Vilafranquense,5.35
2021-12-15,B SAD,16.08
2021-12-15,FC Penafiel,4.85
2021-12-15,SC União Torreense,2.03
2021-12-15,CD Nacional,8.43
2021-12-15,CD Trofense,4.15
2021-12-15,CD Feirense,5.4
2021-12-15,Leixões SC,5.75
2021-12-15,CF Estrela Amadora SAD,5.55
2021-12-15,SC Covilhã,4.13
2021-12-15,UD Oliveirense,1.75
2021-12-01,SL Benfica,281.0
2021-12-01,FC Porto,265.85
2021-12-01,Sporting CP,198.2
2021-12-01,SC Braga,119.15
2021-12-01,FC Famalicão,34.23
2021-12-01,Vitória Guimarães SC,52.95
2021-12-01,Gil Vicente FC,13.55
2021-12-01,FC Paços de Ferreira,20.3
2021-12-01,GD Estoril Praia,21.63
2021-12-01,CD Santa Clara,20.45
2021-12-01,Boavista FC,18.83
2021-12-01,Portimonense SC,21.95
2021-12-01,Rio Ave FC,9.4
2021-12-01,CS Marítimo,18.13
2021-12-01,FC Vizela,11.8
2021-12-01,Casa Pia AC,6.05
2021-12-01,FC Arouca,12.5
2021-12-01,GD Chaves,4.9
2021-12-01,SL Benfica B,11.53
2021-12-01,FC Porto B,16.55
2021-12-01,Moreirense FC,19.98
2021-12-01,Académico Viseu FC,4.6
2021-12-01,SC Farense,8.13
2021-12-01,CD Tondela,21.0
2021-12-01,CD Mafra,5.33
2021-12-01,UD Vilafranquense,5.35
2021-12-01,B SAD,16.08
2021-12-01,FC Penafiel,4.85
2021-12-01,SC União Torreense,2.03
2021-12-01,CD Nacional,8.43
2021-12-01,CD Trofense,4.15
2021-12-01,CD Feirense,5.4
2021-12-01,Leixões SC,5.75
2021-12-01,CF Estrela Amadora SAD,5.45
2021-12-01,SC Covilhã,4.2
2021-12-01,UD Oliveirense,1.75
2021-11-15,SL Benfica,281.0
2021-11-15,FC Porto,265.85
2021-11-15,Sporting CP,198.2
2021-11-15,SC Braga,119.15
2021-11-15,FC Famalicão,34.23
2021-11-15,Vitória Guimarães SC,51.45
2021-11-15,Gil Vicente FC,13.55
2021-11-15,FC Paços de Ferreira,20.3
2021-11-15,GD Estoril Praia,21.63
